plant_key,period,period_as_date,market,reference_market,part_of_world,market_code,company_code,factory,warranty_category,service_type,pnc_sku,sell_out_date,failure_date,ttfi,qty_serv,product_line,product_group,product_subgroup,order_nr,warranty_key,product_unit_key
ZS,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,923794016,2023-01-05,2023-02-27,1,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000TA3640477001,G,ZS-923794016-229-00367
ZS,202303,2023-03-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,922784045,2022-04-26,2023-02-27,10,1,Food Preservation,Built-in Food Preservation,Built-in Upright Freezer,000408261126000,G,ZS-922784045-208-00024
ZS,202303,2023-03-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925975000,2022-11-14,2023-03-23,4,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000008171476000,G,ZS-925975000-220-00275
ZS,202303,2023-03-01,Spain,Reference Markets Only,Europe,SPA,ES1,Electrolux Plants,First year warranty,Service call,925501321,2023-02-20,2023-03-27,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000008193323000,G,ZS-925501321-202-50945
ZS,202303,2023-03-01,Belgium,Reference Markets Only,Europe,BEN,BE1,Electrolux Plants,First year warranty,Service call,923586024,2022-10-29,2023-02-15,4,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000007887499000,G,ZS-923586024-111-11111
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515024,2022-06-30,2023-03-17,9,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000008141080000,G,ZS-925515024-214-00853
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925501109,2022-08-01,2023-01-28,5,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007790235000,G,ZS-925501109-224-00075
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925504030,2023-01-27,2023-02-20,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007908919000,G,ZS-925504030-245-00019
HUC,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933033543,2022-09-22,2023-03-24,6,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000BB3655326001,G,HUC-933033543-215-20063
ZS,202303,2023-03-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925503199,2023-02-04,2023-02-23,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000408259687000,G,ZS-925503199-303-00024
